Número de Ordem;Índice de Gravidade;Quantidade de CNPJs Completos;CNAE;Vigencia
1;0;3236;80.11-1/01;2025
1.618,50;0,0663;1;80.11-1/01;2025
1.621,54;0,0946;1;80.11-1/01;2025
1.624,58;0,1036;1;80.11-1/01;2025
1.627,62;0,104;1;80.11-1/01;2025
1.630,66;0,1076;1;80.11-1/01;2025
1.633,70;0,108;1;80.11-1/01;2025
1.636,75;0,116;1;80.11-1/01;2025
1.639,79;0,1221;1;80.11-1/01;2025
1.642,83;0,1244;1;80.11-1/01;2025
1.645,87;0,1305;1;80.11-1/01;2025
1.648,91;0,1324;1;80.11-1/01;2025
1.651,95;0,1328;1;80.11-1/01;2025
1.654,99;0,1338;1;80.11-1/01;2025
1.658,03;0,1361;1;80.11-1/01;2025
1.661,07;0,1371;1;80.11-1/01;2025
1.664,11;0,138;1;80.11-1/01;2025
1.667,16;0,1412;1;80.11-1/01;2025
1.670,20;0,1445;1;80.11-1/01;2025
1.673,24;0,1475;1;80.11-1/01;2025
1.676,28;0,1475;1;80.11-1/01;2025
1.679,32;0,1478;1;80.11-1/01;2025
1.682,36;0,1485;1;80.11-1/01;2025
1.685,40;0,1488;1;80.11-1/01;2025
1.688,44;0,1503;1;80.11-1/01;2025
1.691,48;0,1508;1;80.11-1/01;2025
1.694,52;0,1521;1;80.11-1/01;2025
1.697,57;0,1524;1;80.11-1/01;2025
1.700,61;0,1531;1;80.11-1/01;2025
1.703,65;0,1569;1;80.11-1/01;2025
1.706,69;0,162;1;80.11-1/01;2025
1.709,73;0,1687;1;80.11-1/01;2025
1.712,77;0,1694;1;80.11-1/01;2025
1.715,81;0,1801;1;80.11-1/01;2025
1.718,85;0,1805;1;80.11-1/01;2025
1.721,89;0,1814;1;80.11-1/01;2025
1.724,93;0,1824;1;80.11-1/01;2025
1.727,98;0,1874;1;80.11-1/01;2025
1.731,02;0,1893;1;80.11-1/01;2025
1.734,06;0,1902;1;80.11-1/01;2025
1.737,10;0,1904;1;80.11-1/01;2025
1.740,14;0,1906;1;80.11-1/01;2025
1.743,18;0,1974;1;80.11-1/01;2025
1.746,22;0,2;1;80.11-1/01;2025
1.749,26;0,2029;1;80.11-1/01;2025
1.752,30;0,2066;1;80.11-1/01;2025
1.755,34;0,2079;1;80.11-1/01;2025
1.758,39;0,2081;1;80.11-1/01;2025
1.761,43;0,2086;1;80.11-1/01;2025
1.764,47;0,2146;1;80.11-1/01;2025
1.767,51;0,2151;1;80.11-1/01;2025
1.770,55;0,2158;1;80.11-1/01;2025
1.773,59;0,2164;1;80.11-1/01;2025
1.776,63;0,2182;1;80.11-1/01;2025
1.779,67;0,221;1;80.11-1/01;2025
1.782,71;0,2226;1;80.11-1/01;2025
1.785,75;0,224;1;80.11-1/01;2025
1.788,80;0,2279;1;80.11-1/01;2025
1.791,84;0,2291;1;80.11-1/01;2025
1.794,88;0,2324;1;80.11-1/01;2025
1.797,92;0,2326;1;80.11-1/01;2025
1.800,96;0,2363;1;80.11-1/01;2025
1.804,00;0,2378;1;80.11-1/01;2025
1.807,04;0,2427;1;80.11-1/01;2025
1.810,08;0,248;1;80.11-1/01;2025
1.813,12;0,2497;1;80.11-1/01;2025
1.816,16;0,2544;1;80.11-1/01;2025
1.819,20;0,2572;1;80.11-1/01;2025
1.822,25;0,2572;1;80.11-1/01;2025
1.825,29;0,2578;1;80.11-1/01;2025
1.828,33;0,2579;1;80.11-1/01;2025
1.831,37;0,2588;1;80.11-1/01;2025
1.834,41;0,2629;1;80.11-1/01;2025
1.837,45;0,267;1;80.11-1/01;2025
1.840,49;0,2717;1;80.11-1/01;2025
1.843,53;0,2729;1;80.11-1/01;2025
1.846,57;0,2738;1;80.11-1/01;2025
1.849,61;0,2762;1;80.11-1/01;2025
1.852,66;0,2775;1;80.11-1/01;2025
1.855,70;0,279;1;80.11-1/01;2025
1.858,74;0,285;1;80.11-1/01;2025
1.861,78;0,2923;1;80.11-1/01;2025
1.864,82;0,2927;1;80.11-1/01;2025
1.867,86;0,294;1;80.11-1/01;2025
1.870,90;0,2948;1;80.11-1/01;2025
1.873,94;0,2957;1;80.11-1/01;2025
1.876,98;0,296;1;80.11-1/01;2025
1.880,02;0,2966;1;80.11-1/01;2025
1.883,07;0,2971;1;80.11-1/01;2025
1.886,11;0,2973;1;80.11-1/01;2025
1.889,15;0,2979;1;80.11-1/01;2025
1.892,19;0,3005;1;80.11-1/01;2025
1.895,23;0,3026;1;80.11-1/01;2025
1.898,27;0,3032;1;80.11-1/01;2025
1.901,31;0,3038;1;80.11-1/01;2025
1.904,35;0,3046;1;80.11-1/01;2025
1.907,39;0,3068;1;80.11-1/01;2025
1.910,43;0,3129;1;80.11-1/01;2025
1.913,48;0,3131;1;80.11-1/01;2025
1.916,52;0,3136;1;80.11-1/01;2025
1.919,56;0,3139;1;80.11-1/01;2025
1.922,60;0,3161;1;80.11-1/01;2025
1.925,64;0,3239;1;80.11-1/01;2025
1.928,68;0,3261;1;80.11-1/01;2025
1.931,72;0,3267;1;80.11-1/01;2025
1.934,76;0,3274;1;80.11-1/01;2025
1.937,80;0,3313;1;80.11-1/01;2025
1.940,84;0,3325;1;80.11-1/01;2025
