Número de Ordem;Índice de Frequência;Quantidade de CNPJs Completos;CNAE;Vigencia
1;0;3236;80.11-1/01;2025
1.618,50;0,6631;1;80.11-1/01;2025
1.621,54;0,8217;1;80.11-1/01;2025
1.624,58;0,9459;1;80.11-1/01;2025
1.627,62;1,0018;1;80.11-1/01;2025
1.630,66;1,0359;1;80.11-1/01;2025
1.633,70;1,0395;1;80.11-1/01;2025
1.636,75;1,0763;1;80.11-1/01;2025
1.639,79;1,0803;1;80.11-1/01;2025
1.642,83;1,1603;1;80.11-1/01;2025
1.645,87;1,2213;1;80.11-1/01;2025
1.648,91;1,2445;1;80.11-1/01;2025
1.651,95;1,2709;1;80.11-1/01;2025
1.654,99;1,2967;1;80.11-1/01;2025
1.658,03;1,3053;1;80.11-1/01;2025
1.661,07;1,3236;1;80.11-1/01;2025
1.664,11;1,3276;1;80.11-1/01;2025
1.667,16;1,3378;1;80.11-1/01;2025
1.670,20;1,3612;1;80.11-1/01;2025
1.673,24;1,3712;1;80.11-1/01;2025
1.676,28;1,3801;1;80.11-1/01;2025
1.679,32;1,412;1;80.11-1/01;2025
1.682,36;1,445;1;80.11-1/01;2025
1.685,40;1,4752;1;80.11-1/01;2025
1.688,44;1,4755;1;80.11-1/01;2025
1.691,48;1,4783;1;80.11-1/01;2025
1.694,52;1,4845;1;80.11-1/01;2025
1.697,57;1,4882;1;80.11-1/01;2025
1.700,61;1,5035;1;80.11-1/01;2025
1.703,65;1,5076;1;80.11-1/01;2025
1.706,69;1,521;1;80.11-1/01;2025
1.709,73;1,5239;1;80.11-1/01;2025
1.712,77;1,5307;1;80.11-1/01;2025
1.715,81;1,5689;1;80.11-1/01;2025
1.718,85;1,6203;1;80.11-1/01;2025
1.721,89;1,666;1;80.11-1/01;2025
1.724,93;1,6872;1;80.11-1/01;2025
1.727,98;1,6942;1;80.11-1/01;2025
1.731,02;1,6996;1;80.11-1/01;2025
1.734,06;1,8007;1;80.11-1/01;2025
1.737,10;1,8052;1;80.11-1/01;2025
1.740,14;1,8138;1;80.11-1/01;2025
1.743,18;1,8237;1;80.11-1/01;2025
1.746,22;1,8739;1;80.11-1/01;2025
1.749,26;1,8931;1;80.11-1/01;2025
1.752,30;1,9017;1;80.11-1/01;2025
1.755,34;1,9043;1;80.11-1/01;2025
1.758,39;1,9057;1;80.11-1/01;2025
1.761,43;1,974;1;80.11-1/01;2025
1.764,47;1,9999;1;80.11-1/01;2025
1.767,51;2,0291;1;80.11-1/01;2025
1.770,55;2,0656;1;80.11-1/01;2025
1.773,59;2,0792;1;80.11-1/01;2025
1.776,63;2,081;1;80.11-1/01;2025
1.779,67;2,0863;1;80.11-1/01;2025
1.782,71;2,1463;1;80.11-1/01;2025
1.785,75;2,1509;1;80.11-1/01;2025
1.788,80;2,1581;1;80.11-1/01;2025
1.791,84;2,1637;1;80.11-1/01;2025
1.794,88;2,1823;1;80.11-1/01;2025
1.797,92;2,2095;1;80.11-1/01;2025
1.800,96;2,2201;1;80.11-1/01;2025
1.804,00;2,2257;1;80.11-1/01;2025
1.807,04;2,2401;1;80.11-1/01;2025
1.810,08;2,2786;1;80.11-1/01;2025
1.813,12;2,2906;1;80.11-1/01;2025
1.816,16;2,3245;1;80.11-1/01;2025
1.819,20;2,326;1;80.11-1/01;2025
1.822,25;2,3536;1;80.11-1/01;2025
1.825,29;2,3627;1;80.11-1/01;2025
1.828,33;2,3777;1;80.11-1/01;2025
1.831,37;2,4269;1;80.11-1/01;2025
1.834,41;2,4643;1;80.11-1/01;2025
1.837,45;2,4802;1;80.11-1/01;2025
1.840,49;2,4913;1;80.11-1/01;2025
1.843,53;2,4971;1;80.11-1/01;2025
1.846,57;2,5436;1;80.11-1/01;2025
1.849,61;2,5721;1;80.11-1/01;2025
1.852,66;2,5723;1;80.11-1/01;2025
1.855,70;2,5776;1;80.11-1/01;2025
1.858,74;2,579;1;80.11-1/01;2025
1.861,78;2,5877;1;80.11-1/01;2025
1.864,82;2,6284;1;80.11-1/01;2025
1.867,86;2,6287;1;80.11-1/01;2025
1.870,90;2,6701;1;80.11-1/01;2025
1.873,94;2,6975;1;80.11-1/01;2025
1.876,98;2,7169;1;80.11-1/01;2025
1.880,02;2,7293;1;80.11-1/01;2025
1.883,07;2,736;1;80.11-1/01;2025
1.886,11;2,7379;1;80.11-1/01;2025
1.889,15;2,7621;1;80.11-1/01;2025
1.892,19;2,7749;1;80.11-1/01;2025
1.895,23;2,79;1;80.11-1/01;2025
1.898,27;2,8504;1;80.11-1/01;2025
1.901,31;2,9233;1;80.11-1/01;2025
1.904,35;2,9272;1;80.11-1/01;2025
1.907,39;2,9401;1;80.11-1/01;2025
1.910,43;2,9476;1;80.11-1/01;2025
1.913,48;2,9575;1;80.11-1/01;2025
1.916,52;2,9655;1;80.11-1/01;2025
1.919,56;2,9714;1;80.11-1/01;2025
1.922,60;2,9725;1;80.11-1/01;2025
1.925,64;2,9791;1;80.11-1/01;2025
1.928,68;3,0257;1;80.11-1/01;2025
1.931,72;3,0319;1;80.11-1/01;2025
1.934,76;3,0378;1;80.11-1/01;2025
1.937,80;3,0457;1;80.11-1/01;2025
1.940,84;3,0684;1;80.11-1/01;2025
1.943,89;3,11;1;80.11-1/01;2025
1.946,93;3,1287;1;80.11-1/01;2025
1.949,97;3,1307;1;80.11-1/01;2025
1.953,01;3,1364;1;80.11-1/01;2025
1.956,05;3,1389;1;80.11-1/01;2025
1.959,09;3,1615;1;80.11-1/01;2025
1.962,13;3,239;1;80.11-1/01;2025
1.965,17;3,2606;1;80.11-1/01;2025
1.968,21;3,2671;1;80.11-1/01;2025
1.971,25;3,2742;1;80.11-1/01;2025
1.974,30;3,2765;1;80.11-1/01;2025
1.977,34;3,3132;1;80.11-1/01;2025
1.980,38;3,3255;1;80.11-1/01;2025
1.983,42;3,3679;1;80.11-1/01;2025
1.986,46;3,3746;1;80.11-1/01;2025
1.989,50;3,3755;1;80.11-1/01;2025
1.992,54;3,3866;1;80.11-1/01;2025
1.995,58;3,3939;1;80.11-1/01;2025
1.998,62;3,416;1;80.11-1/01;2025
2.001,66;3,4346;1;80.11-1/01;2025
2.004,70;3,4834;1;80.11-1/01;2025
2.007,75;3,486;1;80.11-1/01;2025
2.010,79;3,4909;1;80.11-1/01;2025
2.013,83;3,516;1;80.11-1/01;2025
2.016,87;3,5164;1;80.11-1/01;2025
2.019,91;3,5173;1;80.11-1/01;2025
2.022,95;3,5187;1;80.11-1/01;2025
2.025,99;3,5471;1;80.11-1/01;2025
2.029,03;3,5478;1;80.11-1/01;2025
2.032,07;3,5516;1;80.11-1/01;2025
2.035,11;3,5907;1;80.11-1/01;2025
2.038,16;3,5993;1;80.11-1/01;2025
2.041,20;3,605;1;80.11-1/01;2025
2.044,24;3,6194;1;80.11-1/01;2025
2.047,28;3,6331;1;80.11-1/01;2025
2.050,32;3,6595;1;80.11-1/01;2025
2.053,36;3,6645;1;80.11-1/01;2025
2.056,40;3,6661;1;80.11-1/01;2025
2.059,44;3,6762;1;80.11-1/01;2025
2.062,48;3,6844;1;80.11-1/01;2025
2.065,52;3,7007;1;80.11-1/01;2025
2.068,57;3,704;1;80.11-1/01;2025
2.071,61;3,71;1;80.11-1/01;2025
2.074,65;3,7171;1;80.11-1/01;2025
2.077,69;3,7286;1;80.11-1/01;2025
2.080,73;3,7361;1;80.11-1/01;2025
2.083,77;3,7401;1;80.11-1/01;2025
2.086,81;3,7447;1;80.11-1/01;2025
2.089,85;3,7462;1;80.11-1/01;2025
2.092,89;3,7488;1;80.11-1/01;2025
2.095,93;3,7681;1;80.11-1/01;2025
2.098,98;3,8223;1;80.11-1/01;2025
2.102,02;3,8406;1;80.11-1/01;2025
2.105,06;3,8449;1;80.11-1/01;2025
2.108,10;3,8709;1;80.11-1/01;2025
2.111,14;3,9063;1;80.11-1/01;2025
2.114,18;3,9082;1;80.11-1/01;2025
2.117,22;3,9142;1;80.11-1/01;2025
2.120,26;3,9781;1;80.11-1/01;2025
2.123,30;3,9892;1;80.11-1/01;2025
2.126,34;4,0167;1;80.11-1/01;2025
2.129,39;4,0184;1;80.11-1/01;2025
2.132,43;4,0582;1;80.11-1/01;2025
2.135,47;4,0797;1;80.11-1/01;2025
2.138,51;4,0928;1;80.11-1/01;2025
2.141,55;4,0951;1;80.11-1/01;2025
2.144,59;4,1103;1;80.11-1/01;2025
2.147,63;4,115;1;80.11-1/01;2025
2.150,67;4,1408;1;80.11-1/01;2025
2.153,71;4,1511;1;80.11-1/01;2025
2.156,75;4,1609;1;80.11-1/01;2025
2.159,80;4,1973;1;80.11-1/01;2025
2.162,84;4,1987;1;80.11-1/01;2025
2.165,88;4,2343;1;80.11-1/01;2025
2.168,92;4,2724;1;80.11-1/01;2025
2.171,96;4,288;1;80.11-1/01;2025
2.175,00;4,3189;1;80.11-1/01;2025
2.178,04;4,3264;1;80.11-1/01;2025
2.181,08;4,3461;1;80.11-1/01;2025
2.184,12;4,3535;1;80.11-1/01;2025
2.187,16;4,356;1;80.11-1/01;2025
2.190,20;4,3621;1;80.11-1/01;2025
2.193,25;4,3684;1;80.11-1/01;2025
2.196,29;4,374;1;80.11-1/01;2025
2.199,33;4,4207;1;80.11-1/01;2025
2.202,37;4,4223;1;80.11-1/01;2025
2.205,41;4,4373;1;80.11-1/01;2025
2.208,45;4,4473;1;80.11-1/01;2025
2.211,49;4,4639;1;80.11-1/01;2025
2.214,53;4,533;1;80.11-1/01;2025
2.217,57;4,5472;1;80.11-1/01;2025
2.220,61;4,5755;1;80.11-1/01;2025
2.223,66;4,5842;1;80.11-1/01;2025
2.226,70;4,6021;1;80.11-1/01;2025
2.229,74;4,6053;1;80.11-1/01;2025
2.232,78;4,6085;1;80.11-1/01;2025
2.235,82;4,611;1;80.11-1/01;2025
2.238,86;4,6235;1;80.11-1/01;2025
2.241,90;4,6247;1;80.11-1/01;2025
2.244,94;4,6254;1;80.11-1/01;2025
2.247,98;4,627;1;80.11-1/01;2025
2.251,02;4,6284;1;80.11-1/01;2025
2.254,07;4,6292;1;80.11-1/01;2025
2.257,11;4,6584;1;80.11-1/01;2025
2.260,15;4,7188;1;80.11-1/01;2025
2.263,19;4,7207;1;80.11-1/01;2025
2.266,23;4,7244;1;80.11-1/01;2025
2.269,27;4,7356;1;80.11-1/01;2025
2.272,31;4,7387;1;80.11-1/01;2025
2.275,35;4,7537;1;80.11-1/01;2025
2.278,39;4,7558;1;80.11-1/01;2025
2.281,43;4,79;1;80.11-1/01;2025
2.284,48;4,8394;1;80.11-1/01;2025
2.287,52;4,8458;1;80.11-1/01;2025
2.290,56;4,8504;1;80.11-1/01;2025
2.293,60;4,8549;1;80.11-1/01;2025
2.296,64;4,8642;1;80.11-1/01;2025
2.299,68;4,8703;1;80.11-1/01;2025
2.302,72;4,8708;1;80.11-1/01;2025
2.305,76;4,8711;1;80.11-1/01;2025
2.308,80;4,9065;1;80.11-1/01;2025
2.311,84;4,9258;1;80.11-1/01;2025
2.314,89;4,9551;1;80.11-1/01;2025
2.317,93;5,0292;1;80.11-1/01;2025
2.320,97;5,0297;1;80.11-1/01;2025
